fairness,alpha,method,lambda,n,reg_norm_m,reg_norm_s,fair_m,fair_s,mse_m
mad,2.0,fdfl,0.0,5,0.129,0.0027,78.6306,7.0012,293.8929
mad,2.0,fdfl,0.5,5,0.1285,0.0027,43.4055,4.2889,201.8236
mad,2.0,fdfl,1.0,5,0.1282,0.0021,30.2495,0.8847,152.0284
mad,2.0,fdfl,2.0,5,0.129,0.0021,29.5353,23.7727,160.2727
mad,2.0,fdfl-0.1,0.0,5,0.1282,0.0017,26.411,0.8227,129.691
mad,2.0,fdfl-0.1,0.5,5,0.1285,0.0016,25.4619,0.7561,128.3941
mad,2.0,fdfl-0.1,1.0,5,0.1293,0.0014,22.4926,5.0886,138.1256
mad,2.0,fdfl-0.1,2.0,5,0.1297,0.0014,15.3226,10.5632,160.9117
mad,2.0,fdfl-0.5,0.0,5,0.1294,0.0019,23.5188,1.2264,121.3134
mad,2.0,fdfl-0.5,0.5,5,0.1298,0.0019,22.8047,1.1015,121.2064
mad,2.0,fdfl-0.5,1.0,5,0.1303,0.0019,22.3177,1.0765,121.4945
mad,2.0,fdfl-0.5,2.0,5,0.1329,0.0024,21.719,1.1376,124.2819
mad,2.0,fdfl-scal,0.0,5,0.1307,0.0019,22.876,1.1807,120.2023
mad,2.0,fdfl-scal,0.5,5,0.131,0.0019,22.2978,1.1063,120.1909
mad,2.0,fdfl-scal,1.0,5,0.1315,0.0019,21.8735,1.093,120.4498
mad,2.0,fdfl-scal,2.0,5,0.135,0.0033,21.8452,1.1055,122.6024
mad,2.0,fdfl-scal-mu2,0.0,5,0.1321,0.0019,22.4382,1.1238,119.5759
mad,2.0,fdfl-scal-mu2,0.5,5,0.1324,0.0019,21.924,1.0515,119.6234
mad,2.0,fdfl-scal-mu2,1.0,5,0.1329,0.0019,21.5353,1.0953,119.8863
mad,2.0,fdfl-scal-mu2,2.0,5,0.1371,0.0022,22.4125,0.8507,123.2062
mad,2.0,fplg,0.0,5,0.1281,0.0018,25.3035,1.0644,125.4824
mad,2.0,fplg,0.5,5,0.1279,0.0019,24.0205,1.0378,123.2839
mad,2.0,fplg,1.0,5,0.1289,0.002,22.9796,1.0087,124.5564
mad,2.0,fplg,2.0,5,0.1298,0.002,19.8209,6.767,135.7104
mad,2.0,fpto,0.0,5,0.1534,0.0033,23.9377,1.3727,140.1245
