method,fairness,alpha,lambda,n_seeds,source,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std
fdfl-0.5,dp,0.5,2.0,5,fdfl_mu_addon,0.075179892705337,0.0010485565054995612,0.00247449254834524,0.002144972422187479,396.43168787940004,5.548970053227857
fdfl-0.5,dp,2.0,0.0,5,fdfl_mu_addon,0.1294287179173052,0.0019444919341143568,1.7963868019709217,0.13353663708661367,121.31411473000746,1.123973589740346
fdfl-0.5,dp,2.0,0.5,5,fdfl_mu_addon,0.12946784792012492,0.001947368157010731,1.7769090048737752,0.13361134360749524,121.27424251869441,1.1343792038517229
fdfl-0.5,dp,2.0,1.0,5,fdfl_mu_addon,0.12950874807500123,0.001948691766598581,1.7571920274796842,0.1333532296397291,121.23844340224751,1.1454046621793315
fdfl-0.5,dp,2.0,2.0,5,fdfl_mu_addon,0.129601238529141,0.0019533405094110706,1.7175731354418944,0.13359260495871586,121.179639543493,1.166093473541266
fdfl-0.5,mad,0.5,0.0,5,fdfl_mu_addon,0.07514728691228872,0.0012963511698235953,119.7735977982321,5.608494539175199,396.40943398129167,5.571835150379755
fdfl-0.5,mad,0.5,0.5,5,fdfl_mu_addon,0.06560602315798718,0.0036001946671986073,112.77364481715847,6.778437355810085,383.6492300360423,10.231819457984564
fdfl-0.5,mad,0.5,1.0,5,fdfl_mu_addon,0.07292193763427414,0.006722652415618426,47.51766918554406,14.59125262646424,273.2839252006067,29.523293430485154
fdfl-0.5,mad,0.5,2.0,5,fdfl_mu_addon,0.07487330007595404,0.003341179346091869,30.126288521806337,2.126499125271283,244.74776095025942,9.47468019314336
fdfl-0.5,mad,2.0,0.0,5,fdfl_mu_addon,0.1294287179173052,0.0019444919341143568,23.519455180413956,1.227413382167192,121.31411473000746,1.123973589740346
fdfl-0.5,mad,2.0,0.5,5,fdfl_mu_addon,0.129797791253296,0.0019060076401585995,22.804880045877443,1.101270117907139,121.20624252849397,1.176119462047573
fdfl-0.5,mad,2.0,1.0,5,fdfl_mu_addon,0.1303267969629176,0.0018640604969677591,22.31933765175208,1.0744874931881927,121.49619669121724,1.2203348445721736
fdfl-0.5,mad,2.0,2.0,5,fdfl_mu_addon,0.1329091711251053,0.0023983735064997515,21.714740632782,1.13584171710973,124.27112072718496,1.3806044924694674
fdfl-0.5,wasserstein2_dp,0.5,0.0,5,makeup_2026_05_17,0.07514728692097128,0.001296351201197067,0.0002158373682241608,0.00022266236182298858,396.40943398240114,5.571835149698983
fdfl-0.5,wasserstein2_dp,0.5,0.5,5,makeup_2026_05_17,0.07514926379210672,0.0012891096239425325,0.00021347863643855717,0.00021861259439658905,396.41103808955893,5.569291389104954
fdfl-0.5,wasserstein2_dp,0.5,1.0,5,makeup_2026_05_17,0.07515122969706006,0.0012820314505553934,0.00021151817783021787,0.00021539792427676343,396.4125971683789,5.566839662694459
fdfl-0.5,wasserstein2_dp,0.5,2.0,5,makeup_2026_05_17,0.0751548347013488,0.0012685825564795591,0.00020783752193629176,0.000209419717069196,396.4155699200037,5.562787151380423
fdfl-0.5,wasserstein2_dp,2.0,0.0,5,makeup_2026_05_17,0.12942919203893474,0.0019447332952394734,24.664246579812925,3.78182320598727,121.3134275990786,1.1237192746103633
fdfl-0.5,wasserstein2_dp,2.0,0.5,5,makeup_2026_05_17,0.13068381505606153,0.0019077049042960789,14.766483661062907,3.3302457132866983,121.59180324166245,1.3631114768665389
fdfl-0.5,wasserstein2_dp,2.0,1.0,5,makeup_2026_05_17,0.13177752809581111,0.001967450425254193,10.437021151225485,2.7254151193852336,122.83192113860413,1.6160163802092111
fdfl-0.5,wasserstein2_dp,2.0,2.0,5,makeup_2026_05_17,0.13321376991960124,0.001998752476864751,7.289665521958538,2.530831897820387,124.56073396738135,1.9392856438701076
fdfl-scal,atkinson,0.5,0.0,5,main_per_cell,0.07494470426710352,0.0012891773565234727,0.015266401200116308,0.0013861483215198895,396.1254465416897,5.579557705504843
fdfl-scal,atkinson,0.5,0.5,5,main_per_cell,0.07494416787878619,0.001289249891981829,0.015266380377469945,0.0013861470540289902,396.1253564958995,5.579609400950827
fdfl-scal,atkinson,0.5,1.0,5,main_per_cell,0.07494363173628465,0.0012893197815618985,0.015266359564419841,0.0013861457352644234,396.1252665594855,5.579661228709567
fdfl-scal,atkinson,0.5,2.0,5,main_per_cell,0.07494255754263188,0.0012894627813170266,0.015266317873515534,0.0013861431130717282,396.12508564419795,5.579765527526917
fdfl-scal,atkinson,2.0,0.0,5,main_per_cell,0.13065094296849578,0.0019382704250540787,0.006938646532337378,0.0005983905230199353,120.20182930480372,1.166226591311554
fdfl-scal,atkinson,2.0,0.5,5,main_per_cell,0.13065158625909004,0.0019354628747460282,0.006938014929351821,0.0005984474434229763,120.20089374375164,1.167759771980294
fdfl-scal,atkinson,2.0,1.0,5,main_per_cell,0.13065107788931166,0.001936137758520071,0.006938893152971826,0.0005984533279841586,120.20226457893791,1.1673245274056006
fdfl-scal,atkinson,2.0,2.0,5,main_per_cell,0.1306510886852361,0.0019367368648693897,0.006938067747659727,0.0005985410742770767,120.20216352307538,1.1665987896456371
fdfl-scal,bias_parity,0.5,0.0,5,main_per_cell,0.07494470426710352,0.0012891773565234727,2.524144824999249,0.06612279389768887,396.1254465416897,5.579557705504843
